Sex;Age;Contract;Statute;Jurisdiction;Region;count;sum;average;std
*;*;*;*;*;*;1;2;2.0;0.0
*;*;*;*;*;*;1;3;3.0;0.0
*;*;*;*;*;*;1;2;2.0;0.0
*;*;*;*;*;*;4;6;1.5;0.5
*;*;*;*;*;*;1;151;151.0;0.0
*;*;*;*;*;*;2;12;6.0;2.0
*;*;*;*;*;*;3;119;39.666666666666664;15.107025591499548
*;*;*;*;*;*;1;5;5.0;0.0
*;*;*;*;*;*;1;4;4.0;0.0
*;*;*;*;*;*;1;2;2.0;0.0
*;*;*;*;*;*;1;5;5.0;0.0
*;*;*;*;*;*;5;31;6.2;4.261455150532504
*;*;*;*;*;*;6;89;14.833333333333334;8.97063109386526
*;*;*;*;*;*;6;92;15.333333333333334;16.038148964959213
*;*;*;*;*;*;2;5;2.5;1.5
*;*;*;*;*;*;1;3;3.0;0.0
*;*;*;*;*;*;3;9;3.0;1.4142135623730951
*;*;*;*;*;*;1;45;45.0;0.0
*;*;*;*;*;*;2;5;2.5;0.5
*;*;*;*;*;*;2;59;29.5;1.5
*;*;*;*;*;*;4;24;6.0;2.9154759474226504
*;*;*;*;*;*;6;23;3.8333333333333335;3.9334745737353156
*;*;*;*;*;*;9;20;2.2222222222222223;1.4740554623801778
*;*;*;*;*;*;5;20;4.0;1.2649110640673518
*;*;*;*;*;*;3;9;3.0;0.0
*;*;*;*;*;*;8;104;13.0;5.894913061275798
*;*;*;*;*;*;2;26;13.0;12.0
*;*;*;*;*;*;2;33;16.5;15.5
*;*;*;*;*;*;3;12;4.0;2.160246899469287
*;*;*;*;*;*;2;21;10.5;4.5
*;*;*;*;*;*;1;3;3.0;0.0
*;*;*;*;*;*;5;114;22.8;32.22049037491515
*;*;*;*;*;*;3;45;15.0;11.575836902790225
*;*;*;*;*;*;5;36;7.2;6.584831053261731
*;*;*;*;*;*;2;4;2.0;1.0
*;*;*;*;*;*;1;2;2.0;0.0
*;*;*;*;*;*;3;8;2.6666666666666665;1.699673171197595
*;*;*;*;*;*;1;3;3.0;0.0
*;*;*;*;*;*;5;134;26.8;16.65412861725284
*;*;*;*;*;*;7;43;6.142857142857143;3.8332593899996397
*;*;*;*;*;*;1;3;3.0;0.0
*;*;*;*;*;*;1;4;4.0;0.0
*;*;*;*;*;*;1;8;8.0;0.0
*;*;*;*;*;*;12;23;1.9166666666666667;1.114924013354971
*;*;*;*;*;*;7;11;1.5714285714285714;0.7284313590846835
*;*;*;*;*;*;2;6;3.0;0.0
*;*;*;*;*;*;3;16;5.333333333333333;1.247219128924647
*;*;*;*;*;*;5;16;3.2;0.7483314773547883
*;*;*;*;*;*;2;4;2.0;0.0
*;*;*;*;*;*;1;47;47.0;0.0
*;*;*;*;*;*;7;190;27.142857142857142;14.574229422693541
*;*;*;*;*;*;2;25;12.5;11.5
*;*;*;*;*;*;2;4;2.0;0.0
*;*;*;*;*;*;2;3;1.5;0.5
*;*;*;*;*;*;9;44;4.888888888888889;1.9116278371205837
*;*;*;*;*;*;2;10;5.0;2.0
*;*;*;*;*;*;1;2;2.0;0.0
*;*;*;*;*;*;11;34;3.090909090909091;1.083306844346635
*;*;*;*;*;*;2;2;1.0;0.0
*;*;*;*;*;*;2;5;2.5;0.5
*;*;*;*;*;*;1;2;2.0;0.0
*;*;*;*;*;*;2;6;3.0;0.0
*;*;*;*;*;*;3;9;3.0;1.632993161855452
*;*;*;*;*;*;8;94;11.75;5.5170191226784775
*;*;*;*;*;*;2;275;137.5;46.5
*;*;*;*;*;*;5;125;25.0;34.322004603461025
*;*;*;*;*;*;3;38;12.666666666666666;7.1336448530109
*;*;*;*;*;*;5;37;7.4;3.8262252939417984
*;*;*;*;*;*;6;369;61.5;73.98592208431728
*;*;*;*;*;*;2;12;6.0;2.0
*;*;*;*;*;*;2;5;2.5;0.5
*;*;*;*;*;*;2;33;16.5;6.5
*;*;*;*;*;*;1;2;2.0;0.0
*;*;*;*;*;*;2;7;3.5;1.5
*;*;*;*;*;*;3;26;8.666666666666666;3.39934634239519
*;*;*;*;*;*;3;15;5.0;1.632993161855452
*;*;*;*;*;*;1;2;2.0;0.0
*;*;*;*;*;*;2;4;2.0;0.0
*;*;*;*;*;*;1;1;1.0;0.0
*;*;*;*;*;*;1;2;2.0;0.0
*;*;*;*;*;*;1;4;4.0;0.0
*;*;*;*;*;*;2;239;119.5;29.5
*;*;*;*;*;*;4;8;2.0;1.0
*;*;*;*;*;*;2;6;3.0;0.0
*;*;*;*;*;*;18;57;3.1666666666666665;2.813657169355689
*;*;*;*;*;*;1;3;3.0;0.0
*;*;*;*;*;*;6;23;3.8333333333333335;2.3392781412696997
*;*;*;*;*;*;2;2;1.0;0.0
*;*;*;*;*;*;1;2;2.0;0.0
*;*;*;*;*;*;1;5;5.0;0.0
*;*;*;*;*;*;3;38;12.666666666666666;7.408703590297622
*;*;*;*;*;*;1;3;3.0;0.0
*;*;*;*;*;*;2;12;6.0;3.0
*;*;*;*;*;*;2;70;35.0;27.0
*;*;*;*;*;*;3;123;41.0;44.69899327725402
*;*;*;*;*;*;7;173;24.714285714285715;15.826869428865814
*;*;*;*;*;*;1;4;4.0;0.0
